gene,mean_abs_shap,mean_shap_R,mean_shap_NR
METTL10,5.733061317369382e-06,-4.486134107314403e-06,-7.92414534180464e-06
PTPN23,5.732505015902657e-06,-1.724685707469521e-08,-1.6543594894464945e-05
HPGDS,5.732345459832585e-06,-4.844339891613989e-06,-7.40674951853797e-06
MEGF10,5.7293140540458345e-06,4.225123373611931e-06,9.991187648608562e-06
ASB4,5.722822959419529e-06,5.095105506149427e-06,7.501355743684821e-06
NENF,5.707237111747105e-06,1.5861221753605794e-06,-1.0863523204946042e-05
CC2D1A,5.706391579237301e-06,4.335005611304906e-06,2.6018078792720684e-06
ZPBP,5.693949434392252e-06,-2.9341772421924904e-06,-1.3090029435098022e-05
HEATR4,5.691784531636798e-06,3.297812774530059e-06,1.1887649916104795e-05
WNT2B,5.682432749489177e-06,4.239030334227176e-06,9.151741832025146e-06
OGFR,5.676708951187907e-06,-2.0579373148362242e-06,-8.545808848971957e-06
PSMB4,5.661883103572833e-06,1.6557420369986928e-06,-4.494256684716825e-06
PTPLAD2,5.652368195642583e-06,4.7889287992554516e-06,3.8673912855231894e-06
SLA2,5.647471642396267e-06,-2.8369812857914505e-06,-1.3407996192155504e-05
MLX,5.641286117456837e-06,-7.213796950859012e-07,-1.5070543019982402e-05
PAIP1,5.638981953674984e-06,2.1617060480950302e-06,-2.162075527901422e-06
CABLES2,5.637860399105263e-06,5.620969271577986e-07,-1.1823917367102912e-05
LOC150051,5.632654942621086e-06,-1.640894713618681e-06,-1.1436310868388862e-05
C4orf3,5.632261843661504e-06,4.6563837937027925e-06,9.091504611098136e-07
PAX8,5.63028033635389e-06,3.878166267001021e-06,1.0063810920330573e-05
TEX13B,5.627007351969066e-06,5.126113588729231e-06,8.385992726041846e-07
C1orf174,5.6254402613014885e-06,7.494479307131776e-07,-1.2177171570750278e-05
RGAG4,5.623198587195804e-06,5.149395358588928e-06,6.965641068248624e-06
TAF1D,5.623079264774054e-06,3.4906296074523986e-06,-4.260472671780474e-06
SUSD5,5.619131297421652e-06,5.194241532180927e-06,6.822985632270373e-06
FGFBP3,5.617790511604361e-06,-2.916364798247319e-06,-1.2900602385748115e-05
GNAL,5.602079070354935e-06,6.046532806500694e-06,3.844058317554587e-06
RNF185,5.600343275483406e-06,-3.0156031003028086e-06,-1.0567449122721636e-05
MYBPC1,5.586750531253733e-06,4.079071445900358e-06,9.858507939754959e-06
RARB,5.585238830892391e-06,4.6649716462035345e-06,8.082986047523004e-06
SNX12,5.581292955726462e-06,4.557124774248963e-06,-1.7160882075819907e-06
FRMPD3,5.58094902725737e-06,4.0675129137143005e-06,9.8690180156294e-06
TCTN2,5.57889662687391e-06,-1.4209633935087472e-06,-1.4712869830790619e-05
KIAA1107,5.567861541157736e-06,-2.8119193616831363e-06,-1.2817326238749178e-05
SYT12,5.566192134613194e-06,4.571912265869747e-06,8.383318429386289e-06
APLP2,5.562540553013766e-06,1.2511559756608916e-06,-1.5164194730832526e-05
LCE2B,5.550865822943485e-06,4.521755281513773e-06,8.466679023661e-06
FAM73B,5.5453932747575145e-06,3.20246867000171e-07,-1.3667892917774274e-05
